,Store,ds,yhat,y
0,1,2015-07-13,5454.169905043134,5054
1,1,2015-07-14,4990.901810246609,5042
2,1,2015-07-15,4921.429678186835,4767
3,1,2015-07-16,4781.096068054833,4427
4,1,2015-07-17,5035.882862105757,4852
5,1,2015-07-18,4860.089513125006,4406
6,1,2015-07-19,267.8453963758378,0
7,1,2015-07-20,4426.156135720122,4395
8,1,2015-07-21,3948.607994153988,3558
9,1,2015-07-22,3862.730470052402,3464
10,1,2015-07-23,3704.2053041292656,3769
11,1,2015-07-24,3939.410865624941,3706
12,1,2015-07-25,4849.405188284684,4364
13,1,2015-07-26,250.48857848840703,0
14,1,2015-07-27,5472.510485902192,6102
15,1,2015-07-28,4973.227163488189,5011
16,1,2015-07-29,4866.676053897181,4782
17,1,2015-07-30,4689.030667122801,5020
18,1,2015-07-31,4907.129304051115,5263
0,2,2015-07-13,7332.943844169654,6874
1,2,2015-07-14,6697.16582972088,6122
2,2,2015-07-15,7147.113954646522,6406
3,2,2015-07-16,6221.266753615274,5062
4,2,2015-07-17,5907.326816386892,4518
5,2,2015-07-18,3171.6754591099298,3417
6,2,2015-07-19,267.07488291948545,0
7,2,2015-07-20,5146.464488279042,4435
8,2,2015-07-21,4493.904545521978,3836
9,2,2015-07-22,4929.363237291141,5093
10,2,2015-07-23,3991.6898581949486,4108
11,2,2015-07-24,3668.9113603420487,3854
12,2,2015-07-25,2962.6606165260464,2512
13,2,2015-07-26,61.31514493549872,0
14,2,2015-07-27,6966.719061630363,6627
15,2,2015-07-28,6318.351560714764,5671
16,2,2015-07-29,6761.6207704145045,6402
17,2,2015-07-30,5835.266795807896,5567
18,2,2015-07-31,5527.125591636574,6064
0,3,2015-07-13,10436.552612287116,9462
1,3,2015-07-14,9813.75085014073,8625
2,3,2015-07-15,9345.133892554031,8663
3,3,2015-07-16,9010.998412573179,7909
4,3,2015-07-17,9279.253948119753,6679
5,3,2015-07-18,5081.132298483607,4258
6,3,2015-07-19,359.92191026138926,0
7,3,2015-07-20,7208.209622350543,5798
8,3,2015-07-21,6570.015231145436,5600
9,3,2015-07-22,6085.1132161385785,5414
10,3,2015-07-23,5734.125286136974,5702
11,3,2015-07-24,5985.325720877695,5080
12,3,2015-07-25,4985.9056375173805,3878
13,3,2015-07-26,235.43296703571409,0
14,3,2015-07-27,10310.209219880224,8107
15,3,2015-07-28,9660.591130605535,8864
16,3,2015-07-29,9166.077056000444,7610
17,3,2015-07-30,8807.640213482593,8977
18,3,2015-07-31,9053.860010831999,8314
0,4,2015-07-13,12103.239440938547,13550
1,4,2015-07-14,10679.727673846084,12315
2,4,2015-07-15,10291.345777328715,11126
3,4,2015-07-16,10340.100484605066,11432
4,4,2015-07-17,10662.10991721593,10514
5,4,2015-07-18,10314.333898249804,9703
6,4,2015-07-19,0.0,0
7,4,2015-07-20,9727.024937132004,10283
8,4,2015-07-21,8301.06398575117,9176
9,4,2015-07-22,7910.2720097716065,8503
10,4,2015-07-23,7956.898092157019,7286
11,4,2015-07-24,8277.329530989235,8322
12,4,2015-07-25,10256.368558691325,9322
13,4,2015-07-26,0.0,0
14,4,2015-07-27,12000.366109408458,11812
15,4,2015-07-28,10578.193712939485,10275
16,4,2015-07-29,10193.131931745515,10514
17,4,2015-07-30,10247.637167725743,10387
18,4,2015-07-31,10578.254109598673,13995
0,5,2015-07-13,7267.470825981498,7425
1,5,2015-07-14,6343.125069111431,6144
2,5,2015-07-15,6440.313964620995,6323
3,5,2015-07-16,5945.470213467321,4963
4,5,2015-07-17,6065.401103585194,4355
5,5,2015-07-18,2507.1583049002866,2108
6,5,2015-07-19,476.0689455632576,0
7,5,2015-07-20,5456.681030834556,4183
8,5,2015-07-21,4510.123543329037,3497
9,5,2015-07-22,4583.674772784962,3595
10,5,2015-07-23,4064.276053142535,3713
11,5,2015-07-24,4159.2879408030085,3815
12,5,2015-07-25,2406.975965999347,2030
13,5,2015-07-26,356.6474269442584,0
