,Store,ds,yhat,y
0,1,2015-06-20,549.720471783191,494
1,1,2015-06-21,-52.73036665644918,0
2,1,2015-06-22,515.9580002674676,489
3,1,2015-06-23,493.31830922070947,447
4,1,2015-06-24,477.88630411859435,414
5,1,2015-06-25,438.32143429976605,433
6,1,2015-06-26,484.6396425331696,420
7,1,2015-06-27,546.7021698959585,463
8,1,2015-06-28,-56.05740781059649,0
9,1,2015-06-29,512.5216255651222,541
10,1,2015-06-30,489.97216143516596,568
11,1,2015-07-01,474.82393674452084,562
12,1,2015-07-02,435.724490973202,573
13,1,2015-07-03,482.6723810820516,538
14,1,2015-07-04,545.5065672422778,560
15,1,2015-07-05,-56.365834461767804,0
16,1,2015-07-06,513.1860830018923,540
17,1,2015-07-07,491.6629697180675,485
18,1,2015-07-08,477.56086642567294,485
19,1,2015-07-09,439.4931698314643,480
20,1,2015-07-10,487.42485709542945,449
21,1,2015-07-11,551.1628528753885,441
22,1,2015-07-12,-49.915293268603364,0
23,1,2015-07-13,520.2950699051775,553
24,1,2015-07-14,499.272382518887,544
25,1,2015-07-15,485.4951293521347,550
26,1,2015-07-16,447.5642700933128,517
27,1,2015-07-17,495.4377736363144,519
28,1,2015-07-18,558.9211325755635,512
29,1,2015-07-19,-42.603976551359835,0
30,1,2015-07-20,526.9766042736215,526
31,1,2015-07-21,505.1558678446668,469
32,1,2015-07-22,490.43142079316686,463
33,1,2015-07-23,451.42731031616944,503
34,1,2015-07-24,498.1278476866133,459
35,1,2015-07-25,560.3673272714409,500
36,1,2015-07-26,-42.442168671223385,0
37,1,2015-07-27,525.844638463726,612
38,1,2015-07-28,502.7516810901535,560
39,1,2015-07-29,486.80644872175503,523
40,1,2015-07-30,446.6609848299911,546
41,1,2015-07-31,492.3249504645595,555
0,2,2015-06-20,390.4138912482148,323
1,2,2015-06-21,31.12052445552439,0
2,2,2015-06-22,670.481632954302,491
3,2,2015-06-23,643.4919687029965,512
4,2,2015-06-24,756.1971631825004,654
5,2,2015-06-25,604.2091400847768,508
6,2,2015-06-26,596.030571242899,476
7,2,2015-06-27,432.8770520878866,303
8,2,2015-06-28,74.36570390496178,0
9,2,2015-06-29,713.89275752346,734
10,2,2015-06-30,686.4038717859236,877
11,2,2015-07-01,797.9085787038003,786
12,2,2015-07-02,643.9972288919861,921
13,2,2015-07-03,633.1666490474101,1029
14,2,2015-07-04,466.64314472688346,1147
15,2,2015-07-05,104.07152207867904,0
16,2,2015-07-06,738.8926599941747,523
17,2,2015-07-07,706.1133742881138,531
18,2,2015-07-08,811.8199660103173,693
19,2,2015-07-09,651.6938398341443,495
20,2,2015-07-10,634.3354287085799,539
21,2,2015-07-11,461.0850940843241,311
22,2,2015-07-12,91.70972219312512,0
23,2,2015-07-13,719.7776044622788,687
24,2,2015-07-14,680.4254085576522,645
25,2,2015-07-15,779.8687037638551,780
26,2,2015-07-16,613.9145030414791,544
27,2,2015-07-17,591.2821371969383,495
28,2,2015-07-18,413.42121032881244,359
29,2,2015-07-19,40.1954354913496,0
30,2,2015-07-20,665.2550133307822,564
31,2,2015-07-21,623.8014292549087,532
32,2,2015-07-22,722.0961940855627,650
33,2,2015-07-23,555.9720424123511,521
34,2,2015-07-24,534.1529448744745,468
35,2,2015-07-25,358.07171217743155,316
36,2,2015-07-26,-12.445994827405912,0
37,2,2015-07-27,616.1914155434374,638
38,2,2015-07-28,579.1074804009996,646
39,2,2015-07-29,682.4681298463576,727
40,2,2015-07-30,521.9950426102463,601
41,2,2015-07-31,506.28821463831184,625
0,3,2015-06-20,507.89755692944766,424
1,3,2015-06-21,-0.6849107876992093,0
2,3,2015-06-22,817.8682357182938,638
3,3,2015-06-23,810.294062918627,779
4,3,2015-06-24,758.2957414755823,633
5,3,2015-06-25,710.7072954107819,693
6,3,2015-06-26,752.4279193159061,698
7,3,2015-06-27,514.4075774152835,641
8,3,2015-06-28,4.878186684584989,0
9,3,2015-06-29,822.5730520861953,817
10,3,2015-06-30,814.2235165709972,1072
11,3,2015-07-01,761.5231132367836,772
12,3,2015-07-02,713.292987856659,701
13,3,2015-07-03,754.416996562104,742
14,3,2015-07-04,515.8281636299978,456
15,3,2015-07-05,5.740770293202104,0
16,3,2015-07-06,822.8707098706254,734
17,3,2015-07-07,813.9330387726866,657
18,3,2015-07-08,760.6069784082667,680
19,3,2015-07-09,711.7021055868744,691
20,3,2015-07-10,752.0941083833382,689
21,3,2015-07-11,512.7117683090455,409
22,3,2015-07-12,1.769420056065087,0
23,3,2015-07-13,817.9875096710683,812
24,3,2015-07-14,808.090171887432,769
25,3,2015-07-15,753.7700787986919,865
26,3,2015-07-16,703.8543007084404,812
27,3,2015-07-17,743.2395654241895,673
28,3,2015-07-18,502.8785918384508,417
29,3,2015-07-19,-8.988230516738668,0
30,3,2015-07-20,806.3868298940829,671
31,3,2015-07-21,795.7554595559393,661
32,3,2015-07-22,740.8371385386936,607
33,3,2015-07-23,690.4839796909815,655
34,3,2015-07-24,729.6149895155258,607
35,3,2015-07-25,489.20146131589837,412
36,3,2015-07-26,-22.502194402876626,0
37,3,2015-07-27,793.2604945730405,768
38,3,2015-07-28,783.2440979576572,818
39,3,2015-07-29,729.1647172846605,716
40,3,2015-07-30,679.8646115183387,823
41,3,2015-07-31,720.2464471260187,821
0,4,2015-06-20,1430.7361439036304,1311
1,4,2015-06-21,2.5539400895540894,0
2,4,2015-06-22,1383.3933710183712,1230
3,4,2015-06-23,1274.4312988206673,1118
4,4,2015-06-24,1197.398469930505,1094
5,4,2015-06-25,1174.5135099888162,1046
6,4,2015-06-26,1240.418963519096,1076
7,4,2015-06-27,1423.3183276162797,1268
8,4,2015-06-28,-6.230388965824432,0
9,4,2015-06-29,1373.3315281524615,1361
10,4,2015-06-30,1263.1863538774935,1488
11,4,2015-07-01,1185.0685740685722,1359
12,4,2015-07-02,1161.1992161368353,1333
13,4,2015-07-03,1226.2222628976456,1395
14,4,2015-07-04,1408.342080836105,1257
15,4,2015-07-05,-21.882624454929783,0
16,4,2015-07-06,1357.1077649968786,1373
17,4,2015-07-07,1246.4969786937452,1103
18,4,2015-07-08,1168.0218005800064,1134
19,4,2015-07-09,1143.9066255602468,1185
20,4,2015-07-10,1208.8000204079303,1245
21,4,2015-07-11,1390.9122109789273,1401
22,4,2015-07-12,-39.19099758450193,0
23,4,2015-07-13,1340.0582207364093,1619
24,4,2015-07-14,1229.8526851723557,1485
25,4,2015-07-15,1151.9388342773193,1377
26,4,2015-07-16,1128.5508844346698,1417
27,4,2015-07-17,1194.3469237704337,1343
28,4,2015-07-18,1377.5458785291103,1284
29,4,2015-07-19,-51.279123445852065,0
30,4,2015-07-20,1329.4451159623686,1348
31,4,2015-07-21,1220.9142697114082,1149
32,4,2015-07-22,1144.8745709370278,1108
33,4,2015-07-23,1123.556479589183,1101
34,4,2015-07-24,1191.6103544030052,1108
35,4,2015-07-25,1377.2430869173156,1219
36,4,2015-07-26,-48.988760622527934,0
37,4,2015-07-27,1334.4668092560532,1379
38,4,2015-07-28,1228.7796620214058,1191
39,4,2015-07-29,1155.6657842746604,1258
40,4,2015-07-30,1137.3212607417552,1276
41,4,2015-07-31,1208.3583976185198,1498
0,5,2015-06-20,259.9618114507002,210
1,5,2015-06-21,24.119537197100726,0
2,5,2015-06-22,652.0963355619687,497
3,5,2015-06-23,601.8267134447336,475
4,5,2015-06-24,638.513623328147,561
5,5,2015-06-25,544.6711541529017,472
6,5,2015-06-26,568.7628864836744,460
7,5,2015-06-27,265.37840807492614,203
8,5,2015-06-28,29.364057551610244,0
9,5,2015-06-29,657.3128903865847,668
10,5,2015-06-30,607.1418648162557,645
11,5,2015-07-01,644.0313403329147,717
12,5,2015-07-02,550.4686224421328,613
13,5,2015-07-03,574.8873040721647,527
14,5,2015-07-04,271.8448677568215,225
15,5,2015-07-05,36.15458131688246,0
16,5,2015-07-06,664.3766442721598,543
17,5,2015-07-07,614.3965449159203,507
18,5,2015-07-08,651.3656833718436,639
19,5,2015-07-09,557.7459585233721,540
20,5,2015-07-10,581.95003606364,530
21,5,2015-07-11,278.51973231872694,228
22,5,2015-07-12,42.25852165100554,0
23,5,2015-07-13,669.7231051281999,719
24,5,2015-07-14,618.801986757522,607
25,5,2015-07-15,654.6561053459097,716
26,5,2015-07-16,559.7632191727309,571
27,5,2015-07-17,582.5577666515911,513
28,5,2015-07-18,277.60864992067997,241
29,5,2015-07-19,39.75096755879747,0
30,5,2015-07-20,665.5766578598259,530
31,5,2015-07-21,613.0120275596814,445
32,5,2015-07-22,647.2572463915108,503
33,5,2015-07-23,550.8295399264891,455
34,5,2015-07-24,572.201840808246,485
35,5,2015-07-25,265.97938294786405,228
36,5,2015-07-26,27.03030187107555,0
37,5,2015-07-27,651.9752380602653,650
38,5,2015-07-28,598.7639506889734,598
39,5,2015-07-29,632.6140509361576,658
40,5,2015-07-30,536.0536114061422,539
41,5,2015-07-31,557.5594304006011,559
0,6,2015-06-20,341.5519717892221,327
1,6,2015-06-21,-63.85961997933248,0
2,6,2015-06-22,661.8140200396845,483
3,6,2015-06-23,617.548791699966,486
4,6,2015-06-24,576.2513807222354,478
5,6,2015-06-25,547.2606291099974,497
6,6,2015-06-26,576.9001499850532,521
7,6,2015-06-27,339.34021534237064,333
8,6,2015-06-28,-65.98351563589983,0
9,6,2015-06-29,659.9022382545435,712
10,6,2015-06-30,615.9511994751304,709
11,6,2015-07-01,575.0443402555701,593
