,Store,ds,yhat,y
0,1,2015-06-20,551.3205693027796,494
1,1,2015-06-21,-52.675640377237514,0
2,1,2015-06-22,527.031997123742,489
3,1,2015-06-23,484.4737275587713,447
4,1,2015-06-24,470.04332629059655,414
5,1,2015-06-25,427.96674530530953,433
6,1,2015-06-26,470.40591076510714,420
7,1,2015-06-27,532.0243067384736,463
8,1,2015-06-28,-72.31988062146694,0
9,1,2015-06-29,507.40957389166203,541
10,1,2015-06-30,489.0760464376035,568
11,1,2015-07-01,477.2776343547793,562
12,1,2015-07-02,438.0037922371614,573
13,1,2015-07-03,483.40039246530256,538
14,1,2015-07-04,547.9370531643216,560
15,1,2015-07-05,-55.63086642007896,0
16,1,2015-07-06,524.7944257612929,540
17,1,2015-07-07,483.18221590377465,485
18,1,2015-07-08,469.9001167884146,485
19,1,2015-07-09,429.1314696580886,480
20,1,2015-07-10,472.9909815217762,449
21,1,2015-07-11,536.0917745082947,441
22,1,2015-07-12,-66.77042258013533,0
23,1,2015-07-13,514.4214209292245,553
24,1,2015-07-14,497.4459778955723,544
25,1,2015-07-15,486.86563091399586,550
26,1,2015-07-16,448.62660459725817,517
27,1,2015-07-17,494.8370907601186,519
28,1,2015-07-18,559.9342594931483,512
29,1,2015-07-19,-43.35797270802457,0
30,1,2015-07-20,537.0726529057174,526
31,1,2015-07-21,495.15670657156966,469
32,1,2015-07-22,481.2735410017904,463
33,1,2015-07-23,439.6161164790966,503
34,1,2015-07-24,482.31675011028267,459
35,1,2015-07-25,544.0135631221328,500
36,1,2015-07-26,-60.476622227929134,0
37,1,2015-07-27,518.9332271581461,612
38,1,2015-07-28,500.02925643553647,560
39,1,2015-07-29,487.4305765316798,523
40,1,2015-07-30,447.13021831235983,546
41,1,2015-07-31,491.28376307081544,555
0,2,2015-06-20,416.1859975501546,323
1,2,2015-06-21,59.64745401809854,0
2,2,2015-06-22,701.092129954676,491
3,2,2015-06-23,644.4032292280008,512
4,2,2015-06-24,761.6849218340055,654
5,2,2015-06-25,606.4286826696512,508
6,2,2015-06-26,596.001642583542,476
7,2,2015-06-27,431.31630357513677,303
8,2,2015-06-28,75.24140167874833,0
9,2,2015-06-29,718.2630817125707,734
10,2,2015-06-30,704.90782187939,877
11,2,2015-07-01,824.9259772986433,786
12,2,2015-07-02,671.6576381444033,921
13,2,2015-07-03,662.4784028505256,1029
14,2,2015-07-04,496.4476568843121,1147
15,2,2015-07-05,135.82359162126772,0
16,2,2015-07-06,771.7859661924236,523
17,2,2015-07-07,708.4093100089666,531
18,2,2015-07-08,817.8106950581521,693
19,2,2015-07-09,653.5744999511107,495
20,2,2015-07-10,633.1877625316391,539
21,2,2015-07-11,457.70797832577784,311
22,2,2015-07-12,90.22316060422071,0
23,2,2015-07-13,721.3468175316656,687
24,2,2015-07-14,695.7712321672572,645
25,2,2015-07-15,803.5045289336434,780
26,2,2015-07-16,638.1071254611797,544
27,2,2015-07-17,617.176794267616,495
28,2,2015-07-18,439.8960054807196,359
29,2,2015-07-19,68.97743787028338,0
30,2,2015-07-20,695.5473038756255,564
31,2,2015-07-21,624.0154426095318,532
32,2,2015-07-22,726.604979439612,650
33,2,2015-07-23,557.0321446026885,521
34,2,2015-07-24,532.8865417536252,468
35,2,2015-07-25,355.2963055060965,316
36,2,2015-07-26,-12.561962470510913,0
37,2,2015-07-27,619.8676730884888,638
38,2,2015-07-28,597.2075796597295,646
39,2,2015-07-29,709.4419171529274,727
40,2,2015-07-30,550.0296580801108,601
41,2,2015-07-31,536.4359792715757,625
0,3,2015-06-20,423.996159119177,424
1,3,2015-06-21,-117.70846414560074,0
2,3,2015-06-22,673.8622802857078,638
3,3,2015-06-23,678.3978928117028,779
4,3,2015-06-24,636.4738992639076,633
5,3,2015-06-25,574.6105723336352,693
6,3,2015-06-26,601.2142808986036,698
7,3,2015-06-27,341.89876653078056,641
8,3,2015-06-28,-202.55396807154665,0
9,3,2015-06-29,584.899686114006,817
10,3,2015-06-30,752.4077457668421,1072
11,3,2015-07-01,723.4084132574443,772
12,3,2015-07-02,674.2356982916191,701
13,3,2015-07-03,713.347950612181,742
14,3,2015-07-04,467.480107315025,456
15,3,2015-07-05,-81.3007255889004,0
16,3,2015-07-06,702.8572363897425,734
17,3,2015-07-07,699.6883405941436,657
18,3,2015-07-08,649.8875420749621,680
19,3,2015-07-09,580.0804028038735,691
20,3,2015-07-10,598.7800614202993,689
21,3,2015-07-11,331.70665875428824,409
22,3,2015-07-12,-220.27105937373318,0
23,3,2015-07-13,559.9270566367845,812
24,3,2015-07-14,720.722325731441,769
25,3,2015-07-15,685.5410763933552,865
26,3,2015-07-16,630.7944826517537,812
27,3,2015-07-17,665.0073508194301,673
28,3,2015-07-18,415.08483567327687,417
29,3,2015-07-19,-137.11325524102278,0
30,3,2015-07-20,644.4605917419158,671
31,3,2015-07-21,639.5020618723286,661
32,3,2015-07-22,588.7226251606382,607
33,3,2015-07-23,518.732579550255,655
34,3,2015-07-24,538.0157998711255,607
35,3,2015-07-25,272.24982425419853,412
36,3,2015-07-26,-277.76901227900953,0
37,3,2015-07-27,504.90973891781175,768
38,3,2015-07-28,668.810618693245,818
39,3,2015-07-29,637.1775265913749,716
40,3,2015-07-30,586.3311778083214,823
41,3,2015-07-31,624.7015176042961,821
0,4,2015-06-20,1373.249618319605,1311
1,4,2015-06-21,-42.52722841699415,0
2,4,2015-06-22,1279.9040156714864,1230
3,4,2015-06-23,1123.2168245581038,1118
4,4,2015-06-24,1085.7554018391431,1094
5,4,2015-06-25,1111.9298999349398,1046
6,4,2015-06-26,1150.315900096472,1076
7,4,2015-06-27,1392.3206425281808,1268
8,4,2015-06-28,-25.190609859822416,0
9,4,2015-06-29,1513.9261490820659,1361
10,4,2015-06-30,1312.6108684255246,1488
11,4,2015-07-01,1269.4415511352536,1359
12,4,2015-07-02,1290.1076821193856,1333
13,4,2015-07-03,1323.2098333820638,1395
14,4,2015-07-04,1341.735923972141,1257
15,4,2015-07-05,-76.19655370305168,0
16,4,2015-07-06,1244.1984553068028,1373
17,4,2015-07-07,1085.9807788959326,1103
18,4,2015-07-08,1047.407780463738,1134
19,4,2015-07-09,1072.9074824222726,1185
20,4,2015-07-10,1111.0625200621394,1245
21,4,2015-07-11,1353.276819893588,1401
22,4,2015-07-12,-63.48163919988838,0
23,4,2015-07-13,1476.543780350026,1619
24,4,2015-07-14,1276.6492002513467,1485
25,4,2015-07-15,1235.2434583359313,1377
26,4,2015-07-16,1257.9773213164933,1417
27,4,2015-07-17,1293.410121883105,1343
28,4,2015-07-18,1314.5067000505614,1284
29,4,2015-07-19,-100.57914803574545,0
30,4,2015-07-20,1222.5717031544561,1348
31,4,2015-07-21,1067.3305342984752,1149
32,4,2015-07-22,1031.8083468624204,1108
33,4,2015-07-23,1060.407991786478,1101
34,4,2015-07-24,1101.6930502242096,1108
35,4,2015-07-25,1347.0547594048521,1219
36,4,2015-07-26,-66.42966648748597,0
37,4,2015-07-27,1476.6300198499519,1379
38,4,2015-07-28,1279.9195753300794,1191
39,4,2015-07-29,1241.7221841153078,1258
