,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021900002,259,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,5,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,27,1,1,20191022,LAC,LAL
1,Shot Chart Detail,0021900002,262,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,4,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,11,162,1,1,20191022,LAC,LAL
2,Shot Chart Detail,0021900002,271,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,4,13,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,51,128,1,0,20191022,LAC,LAL
3,Shot Chart Detail,0021900002,378,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,10,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-79,246,1,0,20191022,LAC,LAL
4,Shot Chart Detail,0021900002,610,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,4,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,35,1,0,20191022,LAC,LAL
5,Shot Chart Detail,0021900002,644,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,2,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,221,1,1,20191022,LAC,LAL
6,Shot Chart Detail,0021900002,664,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,0,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-92,251,1,0,20191022,LAC,LAL
7,Shot Chart Detail,0021900025,35,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,8,14,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-114,175,1,0,20191025,LAL,UTA
8,Shot Chart Detail,0021900025,40,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,7,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-98,167,1,1,20191025,LAL,UTA
9,Shot Chart Detail,0021900025,212,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,7,35,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-96,251,1,1,20191025,LAL,UTA
10,Shot Chart Detail,0021900025,220,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,7,10,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,20,152,1,0,20191025,LAL,UTA
11,Shot Chart Detail,0021900025,248,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,5,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-150,231,1,0,20191025,LAL,UTA
12,Shot Chart Detail,0021900025,357,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,11,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,14,1,0,20191025,LAL,UTA
13,Shot Chart Detail,0021900025,393,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,8,1,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,59,1,1,20191025,LAL,UTA
14,Shot Chart Detail,0021900025,408,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,5,47,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,11,1,0,20191025,LAL,UTA
15,Shot Chart Detail,0021900040,11,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,11,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,22,1,1,20191027,LAL,CHA
16,Shot Chart Detail,0021900040,93,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,4,14,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,32,1,0,20191027,LAL,CHA
17,Shot Chart Detail,0021900040,97,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,4,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,21,1,1,20191027,LAL,CHA
18,Shot Chart Detail,0021900040,267,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,5,24,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,27,1,1,20191027,LAL,CHA
