grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,y,x,norm_x_jitter,norm_y_jitter,norm_x,norm_y
Shot Chart Detail,21900002,259,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,5,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,27,1,1,20191022,LAC,LAL,494,12,12.005067810079122,494.00973500704373,0.024854973900522107,0.8965654439512947
Shot Chart Detail,21900002,262,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,4,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,11,162,1,1,20191022,LAC,LAL,359,252,252.00116770506563,359.00090975003536,0.5217365320462292,0.6515414317176763
Shot Chart Detail,21900002,271,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,4,13,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,51,128,1,0,20191022,LAC,LAL,393,292,292.0065264348508,393.0000955518992,0.604562565421486,0.7132456714367498
Shot Chart Detail,21900002,378,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,10,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-79,246,1,0,20191022,LAC,LAL,275,162,162.0020818941393,275.00573376065734,0.3354048124516624,0.499100767264758
Shot Chart Detail,21900002,610,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,4,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,35,1,0,20191022,LAC,LAL,486,14,14.002001276602332,486.0014809428167,0.028989371971130454,0.8820314715382489
Shot Chart Detail,21900002,644,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,2,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,221,1,1,20191022,LAC,LAL,300,369,369.005997025071,300.0072608939945,0.76398022654183,0.5444753898386252
Shot Chart Detail,21900002,664,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,0,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-92,251,1,0,20191022,LAC,LAL,270,149,149.00978393690363,270.00339058049445,0.3085059034456023,0.49002214448406417
Shot Chart Detail,21900025,35,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,8,14,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-114,175,1,0,20191025,LAL,UTA,346,127,127.00854875463298,346.00633173322666,0.2629551298151965,0.6279579094042269
Shot Chart Detail,21900025,40,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,7,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-98,167,1,1,20191025,LAL,UTA,354,143,143.0052607951312,354.0053612044739,0.2960742980323838,0.6424751403429371
Shot Chart Detail,21900025,212,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,7,35,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-96,251,1,1,20191025,LAL,UTA,270,145,145.00602902364386,270.00534759045854,0.3002166354924792,0.4900256962106455
Shot Chart Detail,21900025,220,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,7,10,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,20,152,1,0,20191025,LAL,UTA,369,261,261.00474248054127,369.00768853697485,0.5403772943972727,0.6697024747698074
Shot Chart Detail,21900025,248,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,5,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-150,231,1,0,20191025,LAL,UTA,290,91,91.00868349422892,290.00297966406185,0.18842196385353266,0.5263188795378712
Shot Chart Detail,21900025,357,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,11,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,14,1,0,20191025,LAL,UTA,507,13,13.004734600779077,507.00991603876,0.026924657502909215,0.92015913503105
Shot Chart Detail,21900025,393,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,8,1,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,59,1,1,20191025,LAL,UTA,462,250,250.00515957524058,462.00105323425765,0.5176040497681716,0.8384737183226398
Shot Chart Detail,21900025,408,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,5,47,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,11,1,0,20191025,LAL,UTA,510,9,9.00514776304965,510.00927489301336,0.01864401902278542,0.925602593554584
Shot Chart Detail,21900040,11,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,11,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,22,1,1,20191027,LAL,CHA,499,242,242.00000470553715,499.0026815697436,0.5010303895020407,0.9056270130548838
Shot Chart Detail,21900040,93,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,4,14,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,32,1,0,20191027,LAL,CHA,489,470,470.00083701314895,489.003846706417,0.9730772638683137,0.8874803872234996
Shot Chart Detail,21900040,97,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,4,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,21,1,1,20191027,LAL,CHA,500,246,246.00149079138868,500.00771509159284,0.5093149601350896,0.9074510223037904
Shot Chart Detail,21900040,267,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,5,24,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,27,1,1,20191027,LAL,CHA,494,236,236.00794151182666,494.0057209348137,0.4886245808347282,0.8965581589158067
Shot Chart Detail,21900040,352,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,0,38,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,41,1,0,20191027,LAL,CHA,480,481,481.0069992765118,480.00340838306323,0.9958641302257969,0.8711457253549054
Shot Chart Detail,21900040,378,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,11,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,113,1,1,20191027,LAL,CHA,408,361,361.0040097560278,408.0093623525893,0.7474131243920697,0.7404856001242933
Shot Chart Detail,21900040,614,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,6,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-183,191,1,0,20191027,LAL,CHA,330,58,58.000567564677674,330.00729280463315,0.1200828363356018,0.5989216689754752
Shot Chart Detail,21900054,46,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,9,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-77,180,1,0,20191029,LAL,MEM,341,164,164.00752804751664,341.0023823581404,0.33955683496329264,0.6188763715820622
Shot Chart Detail,21900054,52,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,8,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20191029,LAL,MEM,514,239,239.00316943289437,514.0036402242316,0.49482582125935537,0.9328518635035583
Shot Chart Detail,21900054,127,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,3,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,43,176,1,1,20191029,LAL,MEM,345,284,284.0054393966676,345.0063428771545,0.5879973270858153,0.6261430555882836
Shot Chart Detail,21900054,314,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,3,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,47,195,1,0,20191029,LAL,MEM,326,288,288.0065300355774,326.0028913862833,0.5962810789960071,0.5916541847924947
Shot Chart Detail,21900054,320,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,2,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-25,205,1,0,20191029,LAL,MEM,316,216,216.00350633349723,316.006689503116,0.44720792895754174,0.5735123374884514
Shot Chart Detail,21900054,324,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,2,12,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,37,1,1,20191029,LAL,MEM,484,250,250.0012359903566,484.0093986087257,0.5175959264821203,0.8784160930230333
Shot Chart Detail,21900054,373,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,10,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-30,105,1,0,20191029,LAL,MEM,416,211,211.00781748357895,416.0001331359756,0.4368649872978869,0.7549878425847939
Shot Chart Detail,21900054,421,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,6,54,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,198,1,1,20191029,LAL,MEM,323,76,76.00132215422786,323.00596511534025,0.15735112107926164,0.5862151411012625
